client_id	audio_id	audio_file	duration_ms	prompt_id	prompt	reason	comment	language
0abdb8c04390a61ac23a4fcfa3619071	71035	spontaneous-speech-de-71035.mp3	25704	7523	Welche Art von Musikinstrument möchtest du gerne spielen können und warum?	other	Funktioniert nicht.	German
c965a49b306662f8846ca98a0e42f9e7	72272	spontaneous-speech-de-72272.mp3	4068	7519	Welche Sprache würdest du gerne lernen und warum?	other		German
51845105f8c70db59acd7508d250fb87	72695	spontaneous-speech-de-72695.mp3	25128	8588	Magst du lieber den Herbst oder den Frühling, und warum ist das so?	different_language		German
c5bfef2b58c8be672d457214d7def2bb	71274	spontaneous-speech-de-71274.mp3	95112	7546	Wie siehst du die Zukunft der Bildung?	other	too long	German
360324e7166f771b74ff74ffa92296ce	91341	spontaneous-speech-de-91341.mp3	63216	7514	Wie ändert die Nutzung von KI die Gesellschaft?	other	too long	German
51845105f8c70db59acd7508d250fb87	74861	spontaneous-speech-de-74861.mp3	66276	7544	Was tust du im Alltag, um die Umwelt zu schützen?	other	too long	German
0abdb8c04390a61ac23a4fcfa3619071	71037	spontaneous-speech-de-71037.mp3	7452	7535	Wenn du eine Milliarde Euro hättest, was würdest du damit machen?	different_language	empty	German
767c7493681bfee92477f38d77315871	79419	spontaneous-speech-de-79419.mp3	39096	8731	Hat dir jemand Kochen beigebracht, und wenn ja, wer?	other	too long	German
6e19c5438076b89950ea686f9d33893e	78305	spontaneous-speech-de-78305.mp3	41796	7551	Welche gesellschaftlichen Veränderungen würdest du gerne sehen?	other	too long	German
c5bfef2b58c8be672d457214d7def2bb	71264	spontaneous-speech-de-71264.mp3	40464	7531	Wie bleibst du motiviert, wenn du auf Hindernisse stößt?	other	too long	German
c5bfef2b58c8be672d457214d7def2bb	71271	spontaneous-speech-de-71271.mp3	38016	7532	Was ist für dich das Wichtigste in einer Beziehung?	other	too long	German
51845105f8c70db59acd7508d250fb87	74857	spontaneous-speech-de-74857.mp3	39204	8883	Welches Hobby ist deiner Meinung nach Zeitverschwendung?	other	too long	German
0abdb8c04390a61ac23a4fcfa3619071	71042	spontaneous-speech-de-71042.mp3	52236	7522	Welche Art von Kleidung trägst du am liebsten und warum?	different_language	empty	German
0abdb8c04390a61ac23a4fcfa3619071	71034	spontaneous-speech-de-71034.mp3	16560	7533	Welche Traditionen pflegst du in deiner Familie?	different_language	empty	German
c5bfef2b58c8be672d457214d7def2bb	71262	spontaneous-speech-de-71262.mp3	160704	7514	Wie ändert die Nutzung von KI die Gesellschaft?	other	too long	German
afb8ea5f4b1d1779300a9cfea9966f0d	72013	spontaneous-speech-de-72013.mp3	19692	7524	Welche Art von Sport würdest du gerne einmal ausprobieren und warum?	different_language	empty	German
0abdb8c04390a61ac23a4fcfa3619071	71044	spontaneous-speech-de-71044.mp3	23112	7498	Was ist dein Lieblingsfilm und warum?	different_language	empty	German
9778b14c72923e8c197447dcfb09f0e1	78449	spontaneous-speech-de-78449.mp3	43308	7496	Liest du gerne Bücher und wenn ja, welche?	other	too long	German
0abdb8c04390a61ac23a4fcfa3619071	71035	spontaneous-speech-de-71035.mp3	25704	7523	Welche Art von Musikinstrument möchtest du gerne spielen können und warum?	different_language	empty	German
c5bfef2b58c8be672d457214d7def2bb	71273	spontaneous-speech-de-71273.mp3	47052	7549	Was denkst du über die aktuelle Debatte um Datenschutz?	other	too long	German
